"title";"date";"href"
"23";"Pour Cazeneuve, « chaque jour compte » avant la présidentielle";"2016-12-07";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/06/pour-cazeneuve-chaque-jour-compte-avant-la-presidentielle_5044488_4854003.html?xtmc=presidentielle&xtcr=23"
"24";"Présidentielle ghanéenne : jour de vote sur fond de tensions";"2016-12-07";"http://abonnes.lemonde.fr/afrique/article/2016/12/07/presidentielle-ghaneenne-jour-de-vote-sur-fond-de-tensions_5044659_3212.html?xtmc=presidentielle&xtcr=24"
"25";"Valls convaincu d’être « le seul à gauche qui peut gagner la présidentielle »";"2016-12-08";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/08/valls-convaincu-d-etre-le-seul-a-gauche-qui-peut-gagner-la-presidentielle_5045289_4854003.html?xtmc=presidentielle&xtcr=25"
"26";"Michèle Alliot-Marie à son tour candidate à l’élection présidentielle";"2016-12-08";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/08/michele-alliot-marie-a-son-tour-candidate-a-l-election-presidentielle_5045967_4854003.html?xtmc=presidentielle&xtcr=26"
"27";"Présidentielle 2017 : à droite, Alliot-Marie dans la course, à gauche, les recalés de la primaire";"2016-12-09";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/09/presidentielle-2017-a-droite-alliot-marie-dans-la-course-a-gauche-les-recales-de-la-primaire_5046048_4854003.html?xtmc=presidentielle&xtcr=27"
"28";"La Maison Blanche demande une enquête sur le rôle de la Russie dans la présidentielle américaine";"2016-12-10";"http://abonnes.lemonde.fr/ameriques/article/2016/12/09/obama-veut-un-examen-approfondi-du-role-de-moscou-dans-la-presidentielle_5046658_3222.html?xtmc=presidentielle&xtcr=28"
"29";"Election présidentielle : Vincent Peillon confirme sa candidature à la primaire de la gauche";"2016-12-11";"http://abonnes.lemonde.fr/politique/article/2016/12/11/election-presidentielle-vincent-peillon-annonce-sa-candidature-a-la-primaire-de-la-gauche_5047169_823448.html?xtmc=presidentielle&xtcr=29"
"30";"En Gambie, le président sortant va contester le résultat de la présidentielle en justice";"2016-12-12";"http://abonnes.lemonde.fr/afrique/article/2016/12/11/gambie-le-dictateur-yahya-jammeh-va-contester-le-resultat-de-l-election-en-justice_5047107_3212.html?xtmc=presidentielle&xtcr=30"
"31";"Nana Akufo-Addo remporte officiellement la présidentielle ghanéenne";"2016-12-12";"http://abonnes.lemonde.fr/afrique/article/2016/12/10/ghana-nana-akufo-addo-remporte-officiellement-l-election-presidentielle_5046676_3212.html?xtmc=presidentielle&xtcr=31"
"32";"Le rapport de l’UE sur l’élection présidentielle au Gabon est accablant";"2016-12-13";"http://abonnes.lemonde.fr/international/article/2016/12/12/l-ue-pointe-des-anomalies-dans-l-election-presidentielle-au-gabon_5047796_3210.html?xtmc=presidentielle&xtcr=32"
"33";"Présidentielle 2017 : la patinoire de Noël";"2016-12-13";"http://abonnes.lemonde.fr/idees/article/2016/12/13/presidentielle-2017-la-patinoire-de-noel_5048158_3232.html?xtmc=presidentielle&xtcr=33"
"34";"Présidentielle : François Fillon recule sur son projet de réforme de l’Assurance-maladie";"2016-12-13";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/13/presidentielle-francois-fillon-recule-sur-son-projet-de-reforme-de-l-assurance-maladie_5047896_4854003.html?xtmc=presidentielle&xtcr=34"
"35";"Russie : Alexeï Navalny, figure de proue de l’opposition, candidat à la présidentielle de 2018";"2016-12-13";"http://abonnes.lemonde.fr/europe/article/2016/12/13/l-opposant-alexei-navalny-annonce-sa-candidature-a-la-presidentielle-russe-de-2018_5048260_3214.html?xtmc=presidentielle&xtcr=35"
"36";"Enquête Cevipof sur la présidentielle : les Français attachés à la « Sécu »";"2016-12-15";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/14/enquete-cevipof-sur-la-presidentielle-touchez-pas-a-la-secu_5048762_4854003.html?xtmc=presidentielle&xtcr=36"
"37";"Présidentielle : Macron s’installe dans les intentions de vote, le PS perd pied";"2016-12-15";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/14/presidentielle-fillon-et-le-pen-en-tete-mais-en-baisse-dans-les-intentions-de-vote-du-premier-tour_5048499_4854003.html?xtmc=presidentielle&xtcr=37"
"38";"Le Congrès va enquêter sur le rôle de la Russie dans la présidentielle américaine";"2016-12-15";"http://abonnes.lemonde.fr/elections-americaines/article/2016/12/13/le-congres-va-enqueter-sur-le-role-de-la-russie-dans-la-presidentielle-americaine_5047842_829254.html?xtmc=presidentielle&xtcr=38"
"39";"Présidentielle : Obama annonce que les Etats-Unis vont riposter au piratage russe";"2016-12-16";"http://abonnes.lemonde.fr/elections-americaines/article/2016/12/16/presidentielle-obama-annonce-que-les-etats-unis-vont-riposter-au-piratage-russe_5049770_829254.html?xtmc=presidentielle&xtcr=39"
"40";"Présidentielle : des candidats répondent sur l’écologie";"2016-12-16";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/16/presidentielle-des-candidats-repondent-sur-l-ecologie_5050155_4854003.html?xtmc=presidentielle&xtcr=40"
"41";"L’outre-mer attire les candidats à la présidentielle";"2016-12-16";"http://abonnes.lemonde.fr/politique/article/2016/12/16/l-outre-mer-attire-les-candidats-a-la-presidentielle_5050412_823448.html?xtmc=presidentielle&xtcr=41"
"42";"Veillée d’armes syndicale avant l’élection présidentielle";"2016-12-20";"http://abonnes.lemonde.fr/idees/article/2016/12/20/veillee-d-armes-syndicale-avant-l-election-presidentielle_5051749_3232.html?xtmc=presidentielle&xtcr=42"
"43";"Présidentielle 2017 : ce que proposent les candidats de LaPrimaire.org";"2016-12-29";"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/29/presidentielle-2017-ce-que-proposent-les-candidats-de-laprimaire-org_5055418_4355770.html?xtmc=presidentielle&xtcr=43"
"44";"Marine Le Pen va emprunter 6 millions d’euros à son père pour sa campagne présidentielle";"2016-12-31";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/31/marine-le-pen-va-emprunter-6-millions-d-euros-a-son-pere-pour-sa-campagne-presidentielle_5056061_4854003.html?xtmc=presidentielle&xtcr=44"
"45";"Présidentielle 2017 : Charlotte Marchandise remporte la primaire citoyenne";"2016-12-31";"http://abonnes.lemonde.fr/politique/article/2016/12/31/presidentielle-2017-charlotte-marchandise-designee-candidate-du-site-laprimaire-org_5056092_823448.html?xtmc=presidentielle&xtcr=45"
"46";"Présidentielle 2017 : une équation à trois inconnues";"2017-01-03";"http://abonnes.lemonde.fr/idees/article/2017/01/03/presidentielle-2017-une-equation-a-trois-inconnues_5056754_3232.html?xtmc=presidentielle&xtcr=46"
